school_year,lea_number,school_number,school_name
2014,320,304,Bethesda Elementary
2014,320,306,Brogden Middle
2014,320,308,Burton Elementary
2014,320,309,J D Clement Early College HS
2014,320,310,Eastway Elementary
2014,320,312,C E Jordan High
2014,320,313,Easley Elementary
2014,320,314,The School for Creative Studies
2014,320,315,Eno Valley Elementary
2014,320,316,George L Carrington Middle
2014,320,317,City of Medicine Academy
2014,320,318,Club Boulevard Elementary
2014,320,319,Creekside Elementary
2014,320,320,Glenn Elementary
2014,320,322,Durham's Performance Learning Center
2014,320,323,Durham School of the Arts
2014,320,324,Hillandale Elementary
2014,320,325,Hillside High
2014,320,327,Hope Valley Elementary
2014,320,328,Holt Elementary
2014,320,332,Forest View Elementary
2014,320,336,DPS Hospital School
2014,320,338,James E Shepard Middle
2014,320,339,Lakewood Elementary
2014,320,340,Little River Elementary
2014,320,341,Lakeview School
2014,320,342,Lakewood Montessori Middle
2014,320,343,Lucas Middle
2014,320,344,Fayetteville Street Elementary
2014,320,346,Lowe's Grove Middle
2014,320,347,George Watts Elementary
2014,320,348,Mangum Elementary
2014,320,352,Merrick-Moore Elementary
2014,320,353,Middle College HS @ DTCC
2014,320,354,Morehead Montessori
2014,320,355,Neal Middle
2014,320,356,Northern High
2014,320,360,Oak Grove Elementary
2014,320,362,Parkwood Elementary
2014,320,363,E K Powe Elementary
2014,320,364,Pearsontown Elementary
2014,320,365,Riverside High
2014,320,366,Sherwood Githens Middle
2014,320,367,R N Harris Elementary
2014,320,368,Southern School of Energy and Sustainabi
2014,320,369,Sandy Ridge Elementary
2014,320,370,Rogers-Herr Middle
2014,320,372,Southwest Elementary
2014,320,374,C C Spaulding Elementary
2014,320,376,Spring Valley Elementary
2014,320,388,W G Pearson Elementary
2014,320,389,WG Pearson Magnet Middle
2014,320,400,Y E Smith Elementary
2014,320,700,Southern School of Engineering
2014,320,701,Hillside New Tech High
2014,32A,000,Maureen Joy Charter
2014,32B,000,Healthy Start Academy
2014,32C,000,Carter Community Charter
2014,32D,000,Kestrel Heights School
2014,32H,000,Research Triangle Charter
2014,32K,000,Central Park School For Children
2014,32L,000,Voyager Academy
2014,32M,000,Global Scholars Academy
2014,32N,000,Research Triangle High School
2014,32P,000,The Institute for the Development of You
